commentID;comment;assessment;topic
1;In my 30-year career, I’ve more never been proud and honored to carry and give a business card.;positive;retention
2;They will have to burn the building down before I will leave...and even then, I may just work in the ashes.;positive;retention
3;I’m surrounded by people who want to work and who love what they do. The energy that comes from that is like magic in a bottle.;positive;retention
4;This is the second love of my life.;positive;retention
5;I have been an employee here for 45 years and will stay to my last moments.;positive;retention
6;For personal reasons I have been forced to seek employment in another state, and will probably need to leave. This makes me incredibly sad, as it really is the best place to work. After many interviews, I can already see that other companies will not have nearly the same benefits and culture as my company. Even my management, when I told them that I needed to start looking elsewhere, were happy to offer whatever assistance they could in helping me. They are even considering opening a new branch office in the city where I need to go. How much better can a company be??;positive;retention
7;Happy employees don't go looking for other opportunities;positive;retention
8;These folks walk the walk. Seriously. Truly a company of great people.;positive;retention
9;Having this job has changed my life;positive;retention
10;I’ve been working for this company for only two years, and I can honestly say that I do see this company as my last employer.;positive;retention
11;What I cherish is that everyone takes this on with the same vigor and ‘make it happen’ spirit, so you’re never alone in your daily efforts. One team, one goal!;positive;retention
12;I feel challenged to put forth my best work 100% of the time and know that the success of the company rests on all of our shoulders.;positive;retention
13;This company is amazing. One of the things I truly appreciate is that leaders are primarily focused on finding only the best people to join the team. They take the time to hire intelligent, driven, and creative individuals, and it’s a pleasure working alongside each and every one of them.;positive;retention
14;This office is without question closer than some families.;positive;retention
15;There is never a day that goes by without at least one senior manager asking me how I am doing. That in itself is awesome!;positive;retention
16;I have been with my company for 20 years. Most of my coworkers in my immediate group have been here 10-30 years! The tenure is long because we work for a company that appreciates us and rewards us daily both in the type of work that we do and the benefits and pay we receive.;positive;retention
17;I cannot think of a better, more efficiently-run company to work for. I have been here 25 years and every year has been awesome!!!;positive;retention
18;The interviewing process here was extensive, but I realize the importance of finding just the right person to not only to fit the criteria for work, but as a person. I am truly blessed to be a part of a place like this!;positive;retention
19;I have a lot of friends that have gone to other organizations thinking the grass is always greener. I’m amazed at how regularly they say, ‘I made a mistake’ or ‘I wish I could come back.’ Having the perspective of working for different companies before coming here eight years ago, I can happily say that there’s no place I’d rather be.;positive;retention
20;I’m honored to work for a company that lives the values it places on the walls.;positive;retention
21;This is really the best place I’ve ever worked. My team is great. My boss is great. The work is great. And, I can still make time for my private life, friends, and family. It doesn’t get any better.;positive;retention
22;I have only worked here for a little over two years, but my coworkers are like my family. They have mentored me, helped me grow, and watched me succeed as well as fail. I feel more than a professional attachment to this company - I feel a personal attachment.;positive;retention
23;There is a genuine spirit of camaraderie here. We enjoy working hard and playing hard together. We laugh, share joyous moments, and share in grief when tragedy touches one of our own.;positive;retention
24;Our leaders are focused on finding only the best people to join the team. They take time to hire intelligent, driven, and creative individuals, and it’s a pleasure working alongside each and every one of them.;positive;retention
25;This organization is the best work environment that I have ever had the privilege of being associated with. The management team cares about their employees and about the business as a whole. The work done at this organization is breathtaking and amazing.;positive;retention
26;This organization does not care about the employees.;negative;retention
27;I want out.;negative;retention
28;It honestly feels as if the company wants us to leave, and if we don’t leave on our own accord the company will force us to eventually.;negative;retention
